"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
30;0;1;0;6700;8.5;5;24;2562;0
32;0;1;1;15000;14;16;22;2733;1
27;1;1;0;9500;9;3;30;2733;1
26;1;1;1;14000;8;4;0;4612;0
39;0;0;1;8500;17;10;0;2460;0
32;0;0;0;10000;14;9;0;7175;0
32;0;1;0;17500;14;5;0;1538;1
22;0;1;1;30500;4;21;30;5125;1
39;0;1;0;7000;18;3;0;3639;0
39;1;0;0;10000;18.5;9;40;1845;1
39;1;0;0;3400;17;26;0;6252;0
32;0;1;0;10500;14;32;0;2460;1
33;0;1;0;17500;8;2;0;5945;1
28;0;1;1;8800;10;13;0;1794;1
38;0;0;1;29500;8.5;35;0;3382;1
33;0;1;0;15500;12.5;10;0;2392;1
31;1;1;0;9000;8.5;17;43;5945;0
25;0;0;0;10000;7;3;0;6662;0
37;0;1;0;6500;8.5;4;0;3588;0
32;1;0;1;10000;6;16;0;4373;0
34;0;1;1;11000;14;2;0;7380;0
37;1;0;2;24000;4.5;5;0;4408;1
55;1;0;0;21100;20;31;8;5432;1
28;1;1;1;37300;10;22;0;3024;1
29;0;1;2;12500;3.5;15;0;1794;0
38;0;1;3;10000;18;7;0;4168;0
31;0;1;4;6200;4.5;28;0;4100;0
50;1;1;0;11000;4.5;29;32;7072;1
40;0;1;0;11500;10;8;36;6355;0
31;0;1;1;20800;7.5;30;0;4032;1
50;1;1;1;15500;16.5;13;0;3758;1
31;0;1;1;8500;10;8;50;3485;0
39;1;1;1;13700;19;10;44;2870;1
23;1;1;2;5400;5;19;0;5193;0
55;0;0;0;4500;8;50;0;2716;0
22;0;1;1;15500;4;21;0;1845;1
34;1;1;1;9500;15.5;19;33;4100;0
35;0;1;1;14000;11.5;3;0;6970;0
22;0;1;0;10500;4;14;29;6150;0
29;0;1;0;11800;6;3;29;5638;1
38;0;0;2;10000;10;30;0;4715;0
34;0;1;2;9700;11;15;0;3280;0
40;0;0;0;8500;15.5;10;25;1982;1
38;0;0;2;5100;16.5;13;37;4783;0
28;0;0;1;10000;10;18;11;1982;1
37;0;0;1;31000;18;37;0;5535;1
55;0;0;0;15500;27.5;36;0;7482;1
29;0;0;4;14000;11;6;0;3792;0
38;1;0;1;10000;15.5;4;0;1025;1
32;0;1;0;26500;14;4;0;4988;1
35;1;1;0;7000;15.5;30;41;4100;0
37;0;0;2;11000;11;3;0;9532;0
38;1;1;2;16500;15.5;27;29;2665;0
38;1;1;1;6200;17.5;2;0;2665;0
37;0;0;0;8000;17.5;5;0;6458;0
35;0;1;1;22900;16.5;18;0;6662;1
40;1;1;1;5400;12.5;17;0;4100;0
36;1;1;2;28000;18;6;0;4920;1
34;1;1;1;34000;15.5;14;0;6662;1
28;1;0;2;5000;10;7;12;4202;0
30;1;1;1;9500;12;16;0;6048;0
56;0;0;1;6500;18.5;4;44;2870;0
33;0;0;1;5000;15;7;0;4202;0
29;0;1;0;9500;11;3;67;6970;0
36;1;1;2;10000;16.5;29;0;3485;0
34;0;1;1;6000;15.5;5;0;5262;0
38;1;0;1;5500;16;35;0;3348;0
40;0;1;2;11000;17.5;13;29;2101;0
53;0;0;0;17300;21.5;37;36;974;1
40;0;0;0;33000;7;40;0;4100;1
37;0;0;1;7900;16;18;3;6970;0
31;1;1;0;9000;5;4;56;5535;0
30;0;0;1;17000;12;8;0;5638;1
32;0;1;0;15500;9.5;5;0;5330;1
37;0;0;2;19500;18;31;43;3024;1
31;1;0;0;11000;13;25;33;5740;1
34;1;0;0;11500;14;26;0;4818;0
38;1;1;0;10500;16.5;11;9;4510;1
36;1;0;1;9000;16;9;0;7482;0
33;1;1;2;4000;15;15;0;3382;0
39;1;1;0;7200;20;37;0;1640;1
38;0;1;1;12000;10;33;0;3588;1
24;0;0;0;24000;5;11;0;3622;1
27;0;1;0;11000;9;7;0;6252;1
37;0;0;2;7500;16.5;4;7;5740;0
54;0;1;0;13000;25;28;0;3280;1
37;1;1;2;11100;19;3;0;5432;0
49;0;0;1;7500;27;3;37;6355;0
34;0;0;0;11000;16;2;41;1896;1
39;0;1;0;10500;17;7;36;3690;1
39;1;0;1;7500;8.5;15;0;4920;0
39;0;0;4;8000;17;15;27;6252;0
49;0;0;0;17000;15.5;3;0;6868;1
30;0;0;1;10000;12;13;36;2938;1
36;1;1;2;3800;8.5;6;40;1896;0
35;1;0;1;9000;4;4;0;3588;0
34;0;0;0;6200;15.5;32;38;4408;0
36;1;1;0;9000;16;5;0;4510;1
35;1;0;1;11500;2;4;0;4442;0
38;0;0;2;17300;5;2;0;2733;1
35;0;1;1;31000;17;31;36;5022;1
28;1;0;2;29300;9;5;35;2768;1
36;0;1;2;12100;15.5;5;34;3963;1
28;0;0;2;8500;10;17;0;7072;0
38;0;1;0;15000;17;24;13;5022;1
53;0;0;0;10800;15.5;4;41;7995;0
30;1;1;0;23500;11;8;21;1589;1
27;1;1;2;12000;9;7;0;2768;0
36;0;0;2;12500;5;8;36;1845;1
34;1;1;0;14600;16;10;0;2152;1
38;1;1;0;12500;15.5;2;33;2511;1
39;1;0;2;27500;5;38;0;2460;1
47;0;0;2;6500;9.5;3;0;2870;0
27;0;0;1;12500;9;23;33;5398;0
37;1;1;0;12600;12;5;0;4988;1
31;1;1;0;12500;13;5;25;8098;0
48;0;0;2;24000;8.5;31;0;1384;1
33;1;0;2;12000;15;3;40;4510;0
38;1;1;1;8500;9.5;4;32;410;1
55;1;1;2;30900;12.5;3;33;2306;1
35;0;1;2;5000;15.5;17;39;3485;0
36;0;1;1;16000;16.5;31;79;3553;0
45;1;1;2;20500;23;3;0;5125;0
40;1;0;1;14000;10;8;0;5228;1
32;0;0;1;10000;12.5;32;39;2152;1
40;0;1;2;15500;19;10;0;6662;0
38;0;0;0;13500;17.5;2;0;3690;1
39;0;0;1;14000;20.5;4;0;7175;0
30;1;0;1;10500;12;5;0;3348;0
29;0;1;2;25400;11;8;79;7175;1
26;0;1;0;17000;8;21;0;2255;1
40;0;0;2;9000;2;2;0;1845;0
40;0;1;0;13500;8;6;0;4612;1
37;0;0;0;27000;6;13;0;2306;1
25;0;0;1;16000;7;9;0;2118;1
28;0;0;4;7000;10;27;0;3178;0
39;0;0;1;13900;11;21;0;4202;0
38;0;1;2;12000;16;4;36;4510;1
23;0;1;0;8500;3.5;2;0;2050;0
32;0;1;1;6500;14;8;0;3212;0
36;1;1;1;11000;16.5;3;33;4852;0
25;0;0;1;16000;6;11;0;6868;1
54;0;0;0;15100;21.5;5;0;4100;1
26;0;1;1;8500;8;3;0;5432;0
28;1;1;1;13500;10;9;39;1896;1
36;0;0;1;7200;12;3;0;4237;0
38;1;1;1;4500;13;13;0;2101;0
34;0;0;1;7300;12.5;2;0;5330;0
40;1;1;2;5500;17.5;18;4;3844;0
37;1;1;1;15000;7;4;0;2870;0
37;0;1;1;7500;11;36;0;4612;0
54;0;0;0;27500;20.5;2;0;1162;1
38;1;1;1;14000;3.5;14;28;6355;1
39;1;0;2;15000;18.5;19;0;4305;1
28;0;0;0;11500;10;9;0;4442;1
26;0;1;0;13800;8;20;27;5638;1
39;0;0;1;27100;19.5;13;0;5228;1
30;0;1;2;13500;12;3;32;2819;1
37;1;1;2;23300;2;34;0;5330;1
36;0;1;0;10600;17;17;27;3690;1
39;0;0;1;12500;15;7;0;6252;1
35;0;0;2;8000;17;24;0;3075;0
42;1;1;1;3200;10.5;6;28;3280;0
28;0;1;0;6900;10;27;41;3998;0
37;0;0;1;20000;9.5;8;0;3024;1
51;1;1;1;17000;5;33;31;7278;1
33;1;0;2;20500;15;21;37;1025;1
46;0;1;0;4500;25.5;2;34;1845;0
40;0;0;1;14500;17;6;33;1076;1
35;1;0;1;10500;16.5;8;0;3998;0
38;0;1;3;6500;20;37;0;3075;0
58;1;1;2;13200;20;2;10;1845;0
40;0;1;2;11000;11;3;0;3485;0
38;0;0;2;9700;12.5;25;0;3007;0
26;1;0;1;15500;2.5;2;0;1845;1
26;0;1;0;14200;8;20;27;5432;1
31;0;0;0;26500;13;4;34;3075;1
40;0;0;2;12500;13;6;0;5945;0
30;1;1;3;12400;12;2;0;2306;0
38;1;1;2;32000;20;4;0;2972;1
30;1;0;0;5500;12;11;33;3553;0
37;1;1;2;26500;2.5;26;29;2716;1
23;0;1;1;7500;5;17;39;6355;0
34;0;1;2;26300;15.5;3;33;4510;1
37;1;0;0;8000;18;2;0;4510;0
29;0;1;0;7500;10;6;31;4818;0
28;1;0;0;11500;10;18;84;7482;0
36;1;0;0;17500;7.5;3;27;4305;1
34;0;1;1;7500;15.5;2;0;3075;0
36;0;0;2;11500;8.5;3;19;4612;0
38;0;1;2;18500;20;3;31;4818;1
26;1;1;0;10500;8;7;0;4100;0
25;0;0;0;3200;3.5;4;24;6252;0
51;0;1;0;8200;14;27;36;3588;1
30;0;1;2;6000;9.5;13;0;3417;0
32;0;1;0;14300;9;7;40;2050;1
24;1;1;0;7500;6;20;35;3690;0
26;1;1;3;8500;8;5;0;3178;0
35;0;1;1;3800;16;4;39;5125;0
36;1;1;0;13600;15.5;2;0;3553;1
29;0;1;1;2500;11;6;0;2716;0
38;1;0;2;20000;13.5;4;0;6150;1
30;1;1;0;7500;12;23;39;2255;1
55;0;0;1;13700;6.5;21;27;1794;1
28;1;0;1;5200;10;3;25;4920;0
30;0;1;0;10500;12;3;36;3434;1
39;1;1;0;23500;9;4;0;5672;1
37;0;0;1;14000;6;3;0;3792;1
53;1;0;1;4000;27;39;0;2938;0
38;1;0;0;8000;18;26;0;2460;0
40;1;0;0;3000;9;3;0;3895;0
26;0;0;3;10500;8;2;34;1435;0
34;1;0;2;27500;16;33;41;2460;1
29;1;0;0;11000;11;14;0;3622;1
42;0;1;4;10600;20.5;23;33;3075;0
30;0;1;0;23000;12;8;30;6458;1
26;1;1;2;12500;8;24;0;2802;0
34;0;0;2;5000;16;4;0;2152;0
38;1;1;2;16500;14.5;5;30;6458;0
29;0;0;1;10000;5.5;9;10;3212;0
36;0;1;1;12000;16.5;33;0;5842;0
35;0;1;2;8500;17;3;0;1538;0
34;0;1;1;7500;15.5;5;33;4920;0
34;0;1;0;17300;16;13;0;2665;1
40;0;0;1;4700;20.5;36;56;1845;0
22;1;0;0;13000;4;5;54;3417;1
38;1;1;0;12000;18.5;20;41;3998;1
40;1;1;0;9200;20.5;37;30;1093;1
28;0;0;1;6500;10;8;0;3690;0
25;0;0;2;9000;7;22;0;3075;0
36;1;1;0;8900;16.5;19;0;1777;0
26;1;1;0;3800;3;3;39;3998;0
26;0;0;2;8700;8;5;0;5022;0
36;1;1;2;8500;6;19;0;2870;0
36;0;1;0;21500;15.5;18;0;4100;1
35;0;0;1;7000;16;5;36;4168;0
25;0;1;0;10500;7;2;0;4920;1
27;1;1;0;26500;9;2;35;7175;1
28;0;1;1;8500;10;5;33;2870;0
33;1;1;0;18700;15;28;0;2870;1
34;1;0;2;3200;13.5;34;36;4852;0
36;0;1;2;8000;12;28;0;5022;0
37;0;1;1;7500;12.5;22;0;5842;0
40;1;1;3;12000;11;32;3;6662;0
34;0;1;1;14200;16;29;34;3348;1
24;0;1;0;12500;6;13;0;5125;0
29;0;1;1;15500;11;15;39;2665;1
36;1;1;2;14000;13;32;32;4510;0
39;0;0;2;25900;1.5;7;31;3212;1
40;0;1;1;4100;18.5;22;0;2255;0
37;0;1;1;27200;11;4;0;2255;1
39;1;1;1;10500;4.5;2;0;7482;0
36;0;1;0;11500;8.5;2;4;3280;1
38;1;0;0;32500;8;6;0;2768;1
25;0;1;1;34500;7;16;69;6355;1
34;0;1;3;7500;16;6;0;6458;0
35;0;1;0;15500;17;32;0;3143;1
37;0;0;3;14000;7;17;23;4305;0
23;0;1;2;32000;5;7;0;3075;1
39;0;1;1;17000;18.5;3;0;6765;0
38;0;1;2;12000;17.5;19;0;2870;0
50;0;1;1;12800;29;29;0;1845;1
34;0;0;2;31500;16;5;36;2358;1
33;0;1;1;9000;15;2;0;3792;0
40;1;0;1;30000;19.5;39;36;4715;1
39;0;0;0;13000;21;3;12;8918;0
28;0;1;2;8000;10;7;0;3690;0
52;0;1;0;10500;33.5;40;28;3588;1
31;0;1;1;5900;13;7;0;3485;0
40;1;1;0;10000;20;8;0;6252;0
29;1;1;1;38400;9;22;0;5603;1
32;0;1;1;8500;14;3;29;2358;0
32;1;1;1;12200;7;3;0;2665;0
27;0;1;0;11000;9;6;0;4100;0
33;1;1;1;9500;11.5;30;0;5330;0
33;0;0;3;8000;11.5;5;39;6048;0
30;0;1;2;34500;4;23;0;2392;1
33;0;0;1;11500;15;26;40;2511;1
31;0;0;1;15000;11;5;40;2101;1
32;1;0;2;12300;12;2;0;8200;0
28;1;0;1;15000;3;13;0;922;1
29;1;1;2;10000;11;13;0;4305;0
24;0;0;2;5500;6;10;0;2921;0
31;0;1;2;7500;13;26;30;3382;0
36;1;0;0;28000;18;2;32;3895;1
26;0;0;1;6000;8;2;36;4032;0
35;0;0;2;17700;16;5;35;6458;0
39;0;0;1;16500;6.5;35;0;7175;1
26;0;1;0;16000;8;15;27;6868;1
35;0;1;1;14000;16;14;0;2460;0
40;1;1;0;6500;14.5;2;0;3622;0
37;0;0;0;9500;16;7;33;5125;1
34;0;0;2;13200;15.5;24;78;3963;0
28;0;1;1;12000;10;26;31;4715;0
36;0;0;0;14000;8.5;4;0;4305;1
33;1;1;2;10000;12;5;0;4254;0
36;1;1;0;15000;16.5;17;32;3485;1
47;1;1;1;13000;20;3;0;3007;0
38;0;0;2;34000;9.5;13;0;7175;1
36;1;1;2;13900;16;16;27;6048;0
31;0;0;1;23500;13;29;36;6150;1
39;1;0;3;11700;8.5;14;0;3963;0
35;1;0;1;7000;10.5;11;0;2819;0
39;0;1;2;9500;17;8;32;2768;0
22;0;1;2;14000;4;4;0;4168;0
40;1;0;1;9000;16.5;23;32;5535;0
35;0;0;0;9500;16;7;0;2118;1
27;0;0;1;7500;9;3;0;3280;0
32;0;1;2;15500;10;8;0;6662;0
35;1;1;1;12500;16.5;19;44;5945;0
40;0;0;4;5000;14;5;36;3895;0
28;1;1;1;6000;10;6;0;1332;0
31;0;1;2;15300;13;2;0;2768;0
33;0;0;0;11000;6.5;4;37;4612;1
34;1;1;1;7300;10.5;8;39;1076;0
23;1;1;0;5000;5;5;0;2972;0
58;0;1;1;19500;14;43;33;5432;1
36;0;0;4;6500;2.5;32;0;2768;0
44;0;1;1;13000;13;23;0;7892;0
29;1;1;1;2500;10.5;2;32;1777;0
34;0;1;0;9000;15.5;4;33;4715;0
39;0;1;1;8800;12;34;0;4100;0
29;1;1;1;30500;5.5;26;32;4168;1
38;0;0;0;13500;17;13;10;5740;1
38;1;1;1;9000;15;2;0;3229;0
38;1;0;2;12000;18.5;12;31;4818;0
38;0;1;3;27900;2;2;9;3382;1
40;0;0;1;27500;18;24;0;3622;1
32;1;0;1;5500;12;26;39;1948;0
23;1;1;1;9800;5;12;32;3229;0
36;0;0;2;21500;17.5;12;39;3024;1
36;1;0;1;12000;18;24;25;5740;0
45;1;1;3;8500;11.5;6;0;5945;0
25;1;0;0;10000;7;3;13;6048;0
35;1;1;1;15000;4.5;8;22;1538;1
33;0;1;2;14900;15;33;0;5022;0
22;0;1;0;15500;4;16;0;5740;1
36;1;1;1;9000;17.5;6;0;6252;0
40;0;1;0;6000;19.5;21;27;2050;0
59;1;0;1;10500;25.5;16;0;3143;0
54;0;0;0;22700;10.5;9;37;3178;1
26;0;0;1;30300;8;17;0;3485;1
24;1;1;2;16500;6;6;0;7072;0
32;1;1;2;30000;3.5;27;0;5228;1
39;0;0;0;14000;11;2;36;3178;1
57;0;1;0;38700;13;3;0;4305;1
43;0;0;2;12000;15.5;31;12;6458;0
24;1;1;2;5200;4;24;0;3178;0
42;0;0;0;10500;20;7;0;3485;1
38;1;1;1;10800;12;16;27;4647;0
38;1;0;3;21000;19;30;35;6150;0
35;0;1;1;11000;7;33;0;6765;0
37;0;0;2;9000;16;4;41;3553;0
36;1;1;2;9000;15.5;8;39;2665;0
34;0;1;3;8600;15.5;8;39;5125;0
36;0;1;0;6900;10.5;5;0;2870;0
38;1;1;0;16500;12;26;30;3382;1
32;1;1;1;19500;14;4;41;2101;1
31;1;0;4;10200;10.5;3;0;3588;0
38;0;0;1;11500;20;5;0;3348;0
40;1;0;1;15400;21;4;33;3212;1
24;1;1;0;34500;6;12;36;2511;1
38;0;0;1;11000;20;13;10;4100;0
30;0;0;0;7500;10;22;36;6970;0
33;0;0;0;32000;15;17;0;7278;1
33;1;0;2;7000;15;29;50;3622;0
40;0;0;1;10500;16.5;27;0;3690;0
40;0;1;0;8000;15;8;0;4237;0
35;0;1;0;20100;8;3;0;6662;1
40;0;0;2;35000;4;7;33;3007;1
38;0;0;0;13200;19.5;37;7;10250;0
47;0;1;1;13000;23;2;0;3485;0
40;0;1;2;22600;16.5;3;0;4920;1
27;0;0;0;2300;6.5;27;0;4510;0
38;0;0;1;8500;20;23;0;4852;0
28;0;1;4;34500;10;8;33;5535;1
28;0;1;0;33000;10;10;0;3536;1
30;0;0;0;6500;12;19;0;4715;0
32;0;1;2;8000;14;5;0;1948;0
40;0;0;2;27000;12.5;5;0;5228;1
28;0;0;0;10000;10;18;0;4100;1
29;0;0;2;17500;11;7;36;2152;1
35;1;1;1;39600;15.5;7;61;5125;1
38;0;0;0;15000;19;20;33;7380;1
36;0;0;1;14500;17.5;19;0;4852;1
33;0;1;0;6000;15;2;33;5842;0
38;0;1;0;28500;12.5;19;40;4168;1
34;1;1;1;11500;9;11;65;6970;0
22;1;1;0;11500;4;22;43;2152;1
30;1;1;1;11500;1.5;2;0;2768;0
30;1;0;3;6500;12;7;31;4032;0
38;0;0;2;14500;5;10;31;3212;0
35;0;1;1;33500;16.5;25;35;5740;1
26;0;0;0;10500;8;22;39;6355;0
35;0;1;0;8500;16;22;30;5535;0
38;1;0;1;13500;15;16;0;2152;1
28;0;0;0;8500;10;25;0;2733;1
35;0;0;2;31000;17;6;0;4715;1
37;1;1;1;3600;8;15;0;2409;0
40;1;1;0;8500;8.5;6;42;2460;1
39;1;1;0;17500;21;6;0;3331;1
40;1;1;0;26800;20;5;45;2614;1
