"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
32;0;1;2;17800;14;24;84;5842;1
34;0;1;1;10000;15.5;4;10;3382;1
35;0;0;1;6000;16;2;0;6252;0
39;0;1;0;8500;20.5;6;0;3143;0
25;0;1;0;8500;7;25;30;2921;1
36;0;0;1;9000;16.5;2;39;3075;1
27;0;1;1;23000;9;10;0;1691;1
32;0;1;0;23000;12.5;22;31;3382;1
22;1;1;0;14000;4;3;34;4202;1
30;1;1;0;21000;12;3;24;4715;1
39;1;0;1;13500;17.5;3;0;1538;1
33;1;0;1;33500;13.5;4;0;4920;1
38;0;1;0;6000;16;2;0;2562;0
23;1;0;2;7000;5;23;0;1845;0
33;1;0;1;23500;15;2;0;3622;1
22;0;1;1;31500;4;8;33;3998;1
27;1;1;1;13500;9;19;67;3553;1
30;0;0;1;10400;8;2;0;2204;1
38;0;1;0;8000;18.5;33;0;3229;0
36;0;0;1;6000;9.5;8;15;2768;0
25;0;0;2;8800;7;5;0;2528;0
28;0;1;0;14500;4;28;0;6355;1
29;0;1;2;12500;11;23;33;3690;1
32;0;1;2;9000;13.5;7;0;5638;0
38;0;1;0;9500;14.5;13;0;6048;0
38;1;1;0;12500;14.5;11;24;3178;1
33;0;1;2;5500;15;2;0;5432;0
25;0;0;1;13000;7;5;35;6458;1
30;0;1;1;34500;12;12;30;5022;1
28;0;0;0;26500;7.5;7;0;6458;1
40;0;0;1;4900;9;3;0;4612;0
34;0;1;2;13500;7;6;27;3485;1
39;1;1;2;12900;16;2;34;6662;0
33;0;1;0;9500;15;15;0;5330;0
36;0;0;2;7800;15.5;3;0;4612;0
26;0;1;0;10500;5;26;84;5638;0
31;1;1;0;14000;13;31;0;4100;1
38;0;0;0;13500;14;38;59;6765;1
40;1;1;1;6000;15.5;24;0;4612;0
35;1;0;0;17600;15.5;26;28;4612;1
28;0;1;1;6000;10;18;0;4715;0
32;0;1;1;2300;14;8;53;5125;0
