Возраст,Пол,Состоит.в.браке,Иждивенцы,Доход,Опыт.работы,Срок.проживания,Недвижимость,Месячный.платеж
38,1,0,1,9500,15.5,38,29,2665
31,0,1,1,13000,13.0,21,37,4442
40,1,0,1,30000,19.5,39,36,4715
40,1,0,1,9000,16.5,23,32,5535
36,0,0,1,13000,11.0,8,0,5740
26,0,0,1,30300,8.0,17,0,3485
30,0,1,2,21000,12.0,5,33,4151
30,0,1,1,20700,12.0,6,0,8200
47,1,1,1,13000,20.0,3,0,3007
40,0,0,1,11000,18.0,40,30,3212
34,0,0,1,12000,6.5,5,0,3588
28,0,1,0,6000,10.0,3,0,4510
38,1,0,0,9000,14.0,12,40,5535
24,0,1,1,5900,6.0,22,0,2306
34,1,1,1,9000,4.5,3,0,4100
27,0,1,1,23000,9.0,10,0,1691
37,0,0,1,7900,16.0,18,3,6970
34,1,1,1,34000,15.5,14,0,6662
36,0,0,3,4200,17.0,5,33,7072
29,0,1,4,15400,11.0,28,0,2614
33,0,1,2,5500,15.0,2,0,5432
24,0,1,0,11500,6.0,8,0,2972
34,0,1,0,9000,15.5,4,33,4715
34,1,1,0,16000,10.0,5,0,4408
26,0,1,0,13800,8.0,20,27,5638
29,0,1,0,11800,6.0,3,29,5638
34,0,1,2,13500,7.0,6,27,3485
34,1,0,0,12000,3.5,12,7,3690
35,0,0,1,6000,16.0,2,0,6252
26,0,1,0,10500,5.0,26,84,5638
47,0,0,2,7900,14.5,6,67,2870
38,1,0,1,13500,15.0,16,0,2152
32,0,1,0,15500,9.5,5,0,5330
22,1,1,1,7000,3.0,20,43,4168
54,0,1,0,13000,25.0,28,0,3280
24,1,0,1,6500,6.0,17,0,3331
26,1,0,0,7000,8.0,15,28,5535
32,0,1,0,23000,12.5,22,31,3382
26,0,1,0,16000,8.0,15,27,6868
40,1,1,1,8500,19.0,3,0,5638
37,0,1,0,9500,15.0,31,0,2562
28,0,0,2,15500,10.0,19,23,6662
31,0,1,1,5900,13.0,7,0,3485
59,0,1,1,10000,19.0,11,40,3331
35,0,1,1,33500,16.5,25,35,5740
32,1,0,2,14500,11.5,3,0,3126
46,1,1,1,7900,2.5,11,0,5672
32,0,0,1,18700,14.0,2,0,3998
32,0,0,1,10000,12.5,32,39,2152
24,0,0,1,7000,6.0,2,0,7790
24,0,1,1,13500,6.0,6,0,1794
35,0,0,1,27000,7.0,27,0,2562
38,0,0,2,9700,12.5,25,0,3007
39,1,0,2,2100,19.0,9,35,2101
34,0,1,2,9700,11.0,15,0,3280
34,0,0,2,31500,16.0,5,36,2358
34,0,0,1,26000,16.0,5,40,6662
37,0,0,0,27000,6.0,13,0,2306
35,0,1,1,9500,2.5,2,8,1794
50,0,1,3,32500,19.5,2,0,6150
34,0,1,1,11000,14.0,2,0,7380
34,0,0,0,6200,15.5,32,38,4408
32,1,0,1,5500,12.0,26,39,1948
27,1,0,2,19500,9.0,22,0,9840
23,1,1,2,15500,5.0,7,70,6868
34,0,1,4,34500,16.0,18,0,3485
31,0,1,1,8500,10.0,8,50,3485
29,1,1,1,30500,5.5,26,32,4168
55,0,0,0,4500,8.0,50,0,2716
30,1,0,1,12000,12.0,9,4,4168
36,0,1,1,21500,17.5,5,25,5022
25,0,0,1,16000,7.0,9,0,2118
55,0,0,1,13700,6.5,21,27,1794
26,1,1,1,5200,8.0,12,4,6868
32,1,0,1,10000,6.0,16,0,4373
37,0,1,1,9500,19.0,23,0,4612
32,0,1,1,8500,14.0,28,0,2101
33,1,0,2,12000,15.0,3,40,4510
38,1,0,0,13600,19.0,23,34,1332
35,0,1,0,5200,16.5,4,41,1982
40,0,1,1,18000,19.5,8,27,4202
58,0,1,0,12600,15.0,6,0,2511
34,1,1,2,21500,16.0,32,41,2118
39,0,1,2,7000,20.5,5,0,4920
39,1,1,0,17500,21.0,6,0,3331
44,1,0,1,12800,21.5,11,40,6252
39,1,1,1,14600,17.0,39,0,3998
33,1,1,1,31500,15.0,8,29,1691
31,0,1,2,21000,12.0,18,32,4715
40,0,0,1,27500,18.0,24,0,3622
26,1,1,0,4700,8.0,3,34,2306
37,0,1,1,12500,15.5,6,18,2409
37,1,1,1,29500,9.0,26,0,3075
33,1,0,1,11000,12.5,5,0,3178
37,1,1,4,8000,7.0,2,0,7790
26,0,0,0,10500,8.0,22,39,6355
37,0,1,0,6000,16.0,3,0,3553
22,1,0,0,13000,4.0,5,54,3417
33,1,0,2,7000,15.0,29,50,3622
30,1,1,0,9500,12.0,2,0,4100
33,0,1,1,5600,2.0,3,26,2323
47,1,1,1,4300,3.0,3,0,2409
35,0,0,2,17700,16.0,5,35,6458
40,1,1,1,6000,15.5,24,0,4612
40,0,1,2,11000,17.5,13,29,2101
31,0,1,1,20800,7.5,30,0,4032
31,0,1,1,14000,13.0,5,31,2733
55,0,1,0,27500,9.0,32,5,3690
38,0,0,0,8000,14.5,2,43,5228
38,1,1,0,12500,14.5,11,24,3178
36,0,1,1,9000,13.0,16,0,1589
34,1,1,1,9500,15.5,19,33,4100
39,0,0,1,16500,6.5,35,0,7175
31,1,1,0,9000,5.0,4,56,5535
36,0,1,1,12000,17.0,5,26,4408
23,0,1,1,4500,5.0,23,31,2972
35,0,1,1,15500,6.5,20,38,3485
37,1,0,0,5500,16.0,20,0,4202
32,0,1,0,22500,10.0,18,0,1025
40,0,1,2,12000,21.5,7,0,3998
53,0,1,1,15500,23.0,25,26,6765
28,0,0,1,9000,10.0,26,76,6662
35,0,0,1,20000,15.0,14,0,3280
33,0,0,0,12000,15.0,3,35,3741
51,1,1,1,17000,5.0,33,31,7278
30,1,1,0,22500,12.0,30,26,3485
23,0,1,0,11000,5.0,17,0,3827
35,0,1,2,10500,15.5,9,33,2528
36,0,1,0,10600,17.0,17,27,3690
39,0,1,1,19500,4.0,2,0,3024
34,0,1,1,13500,6.0,3,0,3758
30,1,0,3,6500,12.0,7,31,4032
38,0,0,0,13500,17.0,13,10,5740
33,0,1,2,14900,15.0,33,0,5022
22,0,1,1,30500,4.0,21,30,5125
52,0,1,0,10500,33.5,40,28,3588
35,1,0,1,11500,2.0,4,0,4442
29,1,1,1,22700,11.0,12,0,5330
48,0,0,2,24000,22.0,40,40,1845
40,0,0,0,6500,21.5,21,37,2802
34,1,0,1,11500,15.5,7,0,1948
27,1,1,0,12500,9.0,21,25,8098
37,0,0,2,6000,19.0,11,0,3007
36,0,0,0,6500,17.5,6,0,3588
28,0,0,0,26500,7.5,7,0,6458
46,0,1,1,12500,16.0,7,33,5535
37,0,0,2,9000,16.0,4,41,3553
28,0,1,1,36200,10.0,7,26,2204
37,1,1,2,23300,2.0,34,0,5330
22,1,0,0,15300,2.0,21,0,3280
39,0,0,4,13400,18.5,2,30,7278
28,0,1,1,6000,10.0,18,0,4715
37,1,0,1,33500,11.0,26,0,6662
32,0,0,0,13600,14.0,5,0,2921
39,0,0,0,14000,11.0,2,36,3178
36,1,0,0,28000,18.0,2,32,3895
30,1,1,1,9500,12.0,16,0,6048
35,1,0,0,17600,15.5,26,28,4612
29,0,1,1,28000,11.0,4,0,5022
36,1,0,1,9000,16.0,9,0,7482
32,0,1,0,14300,9.0,7,40,2050
38,0,0,1,11000,20.0,13,10,4100
38,0,1,2,12000,16.0,4,36,4510
53,0,0,0,12100,31.5,38,0,6355
40,0,1,2,22600,16.5,3,0,4920
38,0,0,1,29500,8.5,35,0,3382
36,0,1,0,3200,10.5,13,0,6252
26,0,0,1,6000,8.0,8,0,5945
32,1,1,1,27000,14.0,2,0,3792
31,1,1,0,9000,8.5,17,43,5945
39,1,0,1,8000,6.0,8,0,4818
27,0,1,0,6500,9.0,23,0,4818
39,0,0,1,12500,15.0,7,0,6252
28,0,1,1,16500,10.0,3,38,4442
32,0,1,1,2300,14.0,8,53,5125
33,0,1,0,6000,15.0,2,33,5842
37,0,1,2,29000,12.0,6,0,4612
25,1,1,0,11500,7.0,16,0,4408
53,0,0,0,17300,21.5,37,36,974
40,1,1,0,8500,8.5,6,42,2460
40,1,0,0,12000,20.5,8,0,5125
29,1,0,1,14700,11.0,11,4,5228
40,0,0,4,5000,14.0,5,36,3895
35,0,0,1,7000,16.0,5,36,4168
33,0,1,1,13500,12.5,29,0,7175
39,1,1,1,13700,19.0,10,44,2870
37,1,1,0,10500,18.0,6,0,3895
22,1,0,0,13500,4.0,20,0,3553
34,0,0,0,14500,9.0,3,0,2050
29,0,1,2,12500,3.5,15,0,1794
39,0,0,1,15500,19.0,2,39,4100
39,1,1,0,23500,9.0,4,0,5672
25,0,1,0,8000,7.0,2,60,2562
22,0,1,1,31500,4.0,8,33,3998
45,0,1,2,11500,19.5,3,35,3485
29,0,0,1,10000,5.5,9,10,3212
37,0,1,3,21000,13.5,2,0,6765
37,1,1,1,30500,9.5,6,39,4612
32,0,1,2,27600,13.5,8,0,2358
40,0,1,1,7500,21.0,35,0,4373
36,0,0,0,10500,9.5,8,84,2255
25,0,1,0,18500,7.0,6,0,2921
36,0,1,1,12000,16.5,33,0,5842
36,1,0,1,10500,9.0,15,0,2118
34,1,1,1,14500,16.0,6,37,7175
30,1,1,1,11500,9.5,11,0,3639
35,0,0,1,8000,16.5,26,25,5740
33,0,1,2,36700,8.5,18,36,5945
34,1,0,0,4700,16.0,10,0,3417
35,1,0,1,9000,4.0,4,0,3588
53,0,1,0,17000,31.0,51,10,3588
34,1,0,0,11500,14.0,26,0,4818
34,1,1,1,7300,10.5,8,39,1076
27,0,1,0,8000,9.0,15,0,769
39,0,1,0,11400,17.5,6,0,4442
24,0,1,1,2100,6.0,12,27,1896
24,0,1,3,14500,6.0,3,0,1538
32,1,0,0,6500,14.0,29,0,3075
40,1,1,0,26800,20.0,5,45,2614
25,0,1,0,10500,7.0,2,0,4920
28,1,1,1,13500,10.0,9,39,1896
30,0,1,0,8000,12.0,4,0,5842
27,1,1,2,9500,9.0,7,0,4442
39,0,1,2,9500,17.0,8,32,2768
37,0,0,3,13000,13.5,21,0,7585
35,0,1,1,7000,15.5,32,0,6458
35,0,1,0,20100,8.0,3,0,6662
33,1,0,1,33500,13.5,4,0,4920
29,0,0,1,11500,4.0,24,39,3024
34,0,1,1,7500,15.5,2,0,3075
34,0,1,1,9500,16.0,34,23,5740
59,1,1,0,18100,15.0,2,30,2819
23,1,1,1,9800,5.0,12,32,3229
25,0,1,0,8500,7.0,25,30,2921
25,0,1,4,11000,7.0,7,0,5022
26,1,0,1,13500,8.0,7,0,4202
