Возраст,Пол,Состоит.в.браке,Иждивенцы,Доход,Опыт.работы,Срок.проживания,Недвижимость,Месячный.платеж
43,0,0,2,12000,15.5,31,12,6458
39,0,0,1,13900,11.0,21,0,4202
27,0,1,2,7500,6.0,6,0,4202
36,0,0,2,6500,16.5,18,0,6048
38,0,0,2,9500,13.5,7,32,4612
36,0,0,1,7200,12.0,3,0,4237
43,0,1,1,33700,19.5,31,0,5125
30,0,0,1,10000,12.0,13,36,2938
28,1,0,1,3800,10.0,8,44,4100
35,0,0,1,4500,16.0,33,0,2972
28,1,0,1,15000,3.0,13,0,922
28,0,1,2,17500,10.0,27,0,3639
31,1,1,0,33500,9.5,28,0,4408
26,1,1,3,8500,8.0,5,0,3178
39,0,1,0,7500,16.5,14,26,3075
35,1,0,1,10500,16.5,8,0,3998
37,0,1,1,27200,11.0,4,0,2255
32,0,0,1,21500,14.0,2,0,3998
46,1,1,2,8500,20.0,8,0,3348
58,1,1,2,13200,20.0,2,10,1845
37,0,0,1,31000,18.0,37,0,5535
36,1,1,2,13900,16.0,16,27,6048
33,0,1,0,15500,12.5,10,0,2392
25,0,0,1,16000,6.0,11,0,6868
36,0,1,1,14000,10.0,30,0,5228
30,1,0,1,10500,12.0,5,0,3348
37,1,1,2,11100,19.0,3,0,5432
29,1,0,0,23000,11.0,8,0,4373
37,0,0,1,14000,6.0,3,0,3792
26,0,1,0,17000,8.0,21,0,2255
39,0,1,2,15500,12.5,2,0,3143
23,0,1,2,9000,5.0,21,40,3280
36,0,1,1,5500,10.5,6,0,5022
49,1,1,0,11000,27.0,4,32,4510
37,0,0,0,18200,17.5,36,0,3382
23,0,1,1,7500,5.0,17,39,6355
37,0,1,1,7500,12.5,22,0,5842
35,0,1,2,6000,11.5,14,0,5330
38,0,0,1,13500,10.5,38,0,3485
37,0,1,2,35000,17.5,31,0,3485
24,0,0,2,5500,6.0,10,0,2921
32,0,1,0,4000,14.0,3,0,2665
36,0,1,0,13200,11.5,7,31,2819
26,0,1,0,14200,8.0,20,27,5432
36,0,0,1,9500,16.0,2,0,2972
39,0,0,0,7600,19.0,6,0,3007
57,0,1,1,11500,29.0,33,0,3229
38,1,1,0,10500,16.5,11,9,4510
39,0,0,0,11500,19.5,7,37,5535
40,1,1,4,7500,14.0,26,0,2716
36,0,0,3,10500,17.5,33,3,2323
32,0,1,2,17800,14.0,24,84,5842
27,0,0,0,12000,6.0,27,0,3690
30,0,0,1,21000,6.0,5,0,2614
35,1,1,0,7000,15.5,30,41,4100
34,1,0,2,6900,16.0,7,37,6868
32,0,1,2,8000,14.0,5,0,1948
34,0,1,1,7500,3.5,7,0,5432
36,0,1,2,8000,12.0,28,0,5022
33,0,0,0,32000,15.0,17,0,7278
35,1,1,1,7500,6.5,35,36,3024
30,0,1,0,23000,12.0,8,30,6458
55,0,1,1,5500,11.5,35,28,3382
38,0,1,0,8000,18.5,33,0,3229
37,0,1,0,17000,13.5,6,0,3143
38,1,1,0,6000,11.5,7,9,3280
30,1,1,1,10700,12.0,18,0,3690
34,1,0,1,12000,16.0,5,0,6150
33,1,0,2,20500,15.0,21,37,1025
32,1,1,1,7500,14.0,17,0,5740
30,0,1,2,6000,9.5,13,0,3417
25,0,0,1,12000,7.0,6,0,2255
29,1,1,2,10000,11.0,13,0,4305
35,1,1,1,9500,8.5,16,0,4408
54,0,0,0,27500,20.5,2,0,1162
45,1,1,2,20500,23.0,3,0,5125
39,0,0,1,14000,20.5,4,0,7175
34,0,0,2,12500,6.0,7,41,4408
38,0,1,0,15000,17.0,24,13,5022
23,0,1,2,11500,5.0,17,68,2255
29,0,1,2,25400,11.0,8,79,7175
34,1,0,0,14500,16.0,9,0,5228
25,0,1,2,13000,6.0,3,0,3007
37,1,1,1,3600,8.0,15,0,2409
38,1,1,2,16500,14.5,5,30,6458
39,0,0,0,13000,21.0,3,12,8918
36,0,0,0,14000,13.5,33,0,3792
40,1,1,0,12000,18.5,7,27,3690
32,0,1,2,9000,13.5,7,0,5638
34,0,1,0,15500,16.0,2,36,1691
40,0,1,0,13500,8.0,6,0,4612
33,1,0,1,10500,15.0,3,0,2716
53,0,0,0,10800,15.5,4,41,7995
35,0,0,2,6000,15.5,2,41,3963
40,0,0,1,4700,20.5,36,56,1845
26,1,0,1,15500,2.5,2,0,1845
30,0,1,0,12000,10.0,5,0,3690
52,1,0,0,16900,26.0,23,0,6048
37,0,0,0,5300,10.0,30,33,5432
39,0,1,1,13500,17.0,6,0,2460
59,1,0,1,10500,25.5,16,0,3143
36,0,0,1,14500,17.5,19,0,4852
39,1,1,1,34500,14.0,3,0,5638
30,1,0,2,13000,5.0,21,0,2716
37,1,1,0,15500,19.0,18,13,6048
24,0,1,1,12500,6.0,14,0,2101
30,1,1,3,12400,12.0,2,0,2306
26,1,1,1,15000,8.0,4,0,1281
37,0,0,1,17000,8.0,3,0,2972
43,1,0,2,39200,21.5,26,30,2392
51,0,1,1,24700,11.5,44,0,1845
40,1,0,2,11000,18.0,6,0,2768
40,0,0,1,5500,8.5,11,0,3553
31,0,0,1,23500,13.0,29,36,6150
34,1,0,2,5500,15.5,5,0,2460
32,1,1,1,9500,14.0,31,0,3792
38,1,1,2,32000,20.0,4,0,2972
35,0,1,1,12500,16.0,10,0,4305
27,0,1,1,4000,9.0,6,0,4305
31,1,1,1,11400,12.5,3,35,5842
26,1,1,1,14000,8.0,4,0,4612
30,0,1,0,19200,12.0,3,26,2733
57,0,1,0,7500,28.0,17,34,3758
30,0,1,1,34500,12.0,12,30,5022
40,1,1,3,12000,11.0,32,3,6662
35,0,1,0,8500,16.0,22,30,5535
32,0,1,0,26500,14.0,4,0,4988
35,0,1,2,8500,17.0,3,0,1538
32,1,1,0,11000,14.0,31,0,3212
35,1,1,1,39600,15.5,7,61,5125
29,1,0,0,32500,8.0,4,0,2614
36,0,1,0,21500,15.5,18,0,4100
35,0,1,0,15500,17.0,25,33,4818
26,0,1,2,3800,8.0,6,0,6970
31,0,0,1,15000,11.0,5,40,2101
32,1,1,1,7000,13.0,24,38,2460
39,0,1,0,10500,17.0,7,36,3690
39,0,1,3,9500,20.5,11,36,4818
29,0,1,0,7500,10.0,6,31,4818
36,0,1,2,12100,15.5,5,34,3963
33,0,0,2,4500,15.0,4,26,2562
37,0,0,2,7500,16.5,4,7,5740
58,0,1,0,9500,21.0,5,9,3178
22,0,1,0,10000,3.0,22,29,2870
32,1,0,0,9100,10.0,8,31,2819
23,0,1,0,14500,5.0,23,0,5432
39,0,1,1,17000,18.5,3,0,6765
37,0,1,1,7500,11.0,36,0,4612
37,0,1,2,11500,14.0,6,0,4818
22,0,1,1,4000,3.0,20,21,6252
36,0,1,0,8500,8.0,3,29,3382
33,0,1,0,6500,13.5,33,87,2358
29,0,1,2,12500,11.0,23,33,3690
39,1,1,1,7000,21.0,4,0,5842
31,1,0,4,10200,10.5,3,0,3588
27,0,0,0,12000,7.5,3,27,7688
31,1,1,2,9000,13.0,3,41,5022
53,1,0,1,4000,27.0,39,0,2938
24,1,0,2,11500,6.0,21,0,6252
37,1,0,1,13400,16.0,19,0,2768
31,0,1,1,21500,13.0,27,0,3690
40,0,1,2,11000,11.0,3,0,3485
40,1,1,2,7800,18.5,3,0,3382
36,1,1,2,10000,16.5,29,0,3485
38,0,1,1,12000,8.0,6,0,5330
38,1,0,1,5500,16.0,35,0,3348
33,1,1,1,9500,11.5,30,0,5330
24,0,1,1,10500,6.0,24,0,2665
34,1,1,1,14000,12.5,3,33,3622
27,0,0,1,11400,9.0,8,0,5022
28,0,1,0,13500,10.0,4,90,5638
32,0,1,1,10500,11.0,16,30,3639
38,0,0,1,23200,15.0,8,27,1896
24,0,0,1,7500,6.0,6,33,3075
37,1,1,1,15500,9.0,31,0,6048
25,0,0,0,10000,7.0,3,0,6662
46,0,1,1,9000,16.0,28,0,718
28,0,0,2,8500,10.0,17,0,7072
29,1,1,0,8000,11.0,6,27,2358
25,0,1,1,7500,7.0,9,35,3792
26,0,1,0,12100,8.0,6,0,3024
33,0,1,1,9000,15.0,2,0,3792
35,1,0,2,11500,8.0,31,44,1589
27,0,1,0,15500,9.0,16,41,5842
